domain,rq,value_head,source_stage,inference,displayed_score,status,weight_file,source_jobs,packaged_logs,teacher,estimator_coeff,puct,width,iterations,seed,validation,note
Drone,RQ1,off,stage 2,policy,4/20,completed,weights/drone/rq2_vh_off_stage2_anchor0p03_job19975587_epoch48,20013348,logs/drone/rq2_vh_off_stage2_policy_4of20_job20013348.log.gz,hadd-astar,,,,,42,VAL-confirmed,Anchor coefficient 0.03; selected epoch 48.
Drone,RQ2,off,stage 2,MCTS,7/20,completed,weights/drone/rq2_vh_off_stage2_anchor0p03_job19975587_epoch48,20150003+20146004,logs/drone/rq2_vh_off_stage2_mcts_part1_job20150003.log.gz;logs/drone/rq2_vh_off_stage2_mcts_part2_job20146004.log.gz,hadd-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
Drone,RQ3,on,stage 1,policy,10/20,completed historical baseline,weights/drone/rq4_vh_on_stage1_snapshot_226,19498231,logs/drone/rq3_vh_on_stage1_policy_10of20_job19498231.log.gz,hadd-astar,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Drone,RQ4,on,stage 1,MCTS,16/20,completed,weights/drone/rq4_vh_on_stage1_snapshot_226,20251208,logs/drone/rq4_vh_on_stage1_mcts_16of20_job20251208.log.gz,hadd-astar,0.5,0.1,20,70,42,VAL-confirmed,
Drone,RQ3,on,stage 2,policy,13/20,completed,weights/drone/rq4_vh_on_stage2_anchor3_job19936846_epoch0,20013357,logs/drone/rq4_vh_on_stage2_policy_13of20_job20013357.log.gz,hadd-astar,,,,,42,VAL-confirmed,Anchor coefficient 3; selected epoch 0.
Drone,RQ4,on,stage 2,MCTS,16/20,completed,weights/drone/rq4_vh_on_stage2_anchor3_job19936846_epoch0,20149698+20146008,logs/drone/rq4_vh_on_stage2_mcts_part1_job20149698.log.gz;logs/drone/rq4_vh_on_stage2_mcts_part2_job20146008.log.gz,hadd-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
FO Counters,RQ1,off,stage 1,policy,6/20,completed historical baseline,weights/fo_counters/rq2_vh_off_stage1_snapshot_228.pkl,18605921,logs/fo_counters/rq1_vh_off_stage1_policy_6of20_job18605921.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
FO Counters,RQ2,off,stage 1,MCTS,5/20,completed,weights/fo_counters/rq2_vh_off_stage1_snapshot_228.pkl,20251204,logs/fo_counters/rq2_vh_off_stage1_mcts_5of20_job20251204.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,
FO Counters,RQ1,off,stage 2,policy,7/20,completed,weights/fo_counters/rq2_vh_off_stage2_anchor30_job19975612_epoch0,20013350,logs/fo_counters/rq2_vh_off_stage2_policy_7of20_job20013350.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Anchor coefficient 30; selected epoch 0.
FO Counters,RQ2,off,stage 2,MCTS,11/20,completed,weights/fo_counters/rq2_vh_off_stage2_anchor30_job19975612_epoch0,20150004+20146005,logs/fo_counters/rq2_vh_off_stage2_mcts_part1_job20150004.log.gz;logs/fo_counters/rq2_vh_off_stage2_mcts_part2_job20146005.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
FO Counters,RQ3,on,stage 1,policy,6/20,completed historical baseline,weights/fo_counters/rq4_vh_on_stage1_snapshot_95,19457294,logs/fo_counters/rq3_vh_on_stage1_policy_6of20_job19457294.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
FO Counters,RQ4,on,stage 1,MCTS,7/20,completed,weights/fo_counters/rq4_vh_on_stage1_snapshot_95,20251209,logs/fo_counters/rq4_vh_on_stage1_mcts_7of20_job20251209.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,
FO Counters,RQ3,on,stage 2,policy,5/20,completed,weights/fo_counters/rq4_vh_on_stage2_anchor10_job19967066_epoch57,20013359,logs/fo_counters/rq4_vh_on_stage2_policy_5of20_job20013359.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Anchor coefficient 10; selected epoch 57.
FO Counters,RQ4,on,stage 2,MCTS,6/20,completed,weights/fo_counters/rq4_vh_on_stage2_anchor10_job19967066_epoch57,20150010+20146009,logs/fo_counters/rq4_vh_on_stage2_mcts_part1_job20150010.log.gz;logs/fo_counters/rq4_vh_on_stage2_mcts_part2_job20146009.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
Rover,RQ1,off,stage 1,policy,4/20,completed historical baseline,weights/rover/rq2_vh_off_stage1_snapshot_145.pkl,18607511,logs/rover/rq1_vh_off_stage1_policy_4of20_job18607511.log.gz,hmrp-ha-gbfs,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Rover,RQ2,off,stage 1,MCTS,6/20,completed,weights/rover/rq2_vh_off_stage1_snapshot_145.pkl,20251205,logs/rover/rq2_vh_off_stage1_mcts_6of20_job20251205.log.gz,hmrp-ha-gbfs,0.5,0.1,20,70,42,VAL-confirmed,
Rover,RQ1,off,stage 2,policy,4/20,completed,weights/rover/rq2_vh_off_stage2_anchor0_job19975615_epoch0,20013352,logs/rover/rq2_vh_off_stage2_policy_4of20_job20013352.log.gz,hmrp-ha-gbfs,,,,,42,VAL-confirmed,Anchor coefficient 0; selected epoch 0.
Rover,RQ2,off,stage 2,MCTS,4/20,completed,weights/rover/rq2_vh_off_stage2_anchor0_job19975615_epoch0,20150005+20146006,logs/rover/rq2_vh_off_stage2_mcts_part1_job20150005.log.gz;logs/rover/rq2_vh_off_stage2_mcts_part2_job20146006.log.gz,hmrp-ha-gbfs,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
Rover,RQ3,on,stage 1,policy,4/20,completed historical baseline,weights/rover/rq4_vh_on_stage1_snapshot_131,19459996,logs/rover/rq3_vh_on_stage1_policy_4of20_job19459996.log.gz,hmrp-ha-gbfs,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Rover,RQ4,on,stage 1,MCTS,5/20,completed,weights/rover/rq4_vh_on_stage1_snapshot_131,20251210,logs/rover/rq4_vh_on_stage1_mcts_5of20_job20251210.log.gz,hmrp-ha-gbfs,0.5,0.1,20,70,42,VAL-confirmed,
Rover,RQ3,on,stage 2,policy,4/20,completed,weights/rover/rq4_vh_on_stage2_anchor30_job19960690_epoch0,20013361,logs/rover/rq4_vh_on_stage2_policy_4of20_job20013361.log.gz,hmrp-ha-gbfs,,,,,42,VAL-confirmed,Anchor coefficient 30; selected epoch 0.
Rover,RQ4,on,stage 2,MCTS,8/20 exploratory,completed,weights/rover/rq4_vh_on_stage2_anchor30_job19960690_epoch0,20197126,logs/rover/rq4_vh_on_stage2_mcts_8of20_budget200_job20197126.log.gz,hmrp-ha-gbfs,0.5,0.1,20,200,42,VAL-confirmed,"Exploratory search-budget result; normal 70-iteration result was 6/20."
Counters,RQ1,off,stage 1,policy,15/59,completed historical baseline,weights/counters/rq2_vh_off_stage1_snapshot_666.pkl,18588318,logs/counters/rq1_vh_off_stage1_policy_15of59_job18588318.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Exact original evaluation log; no replacement rerun.
Counters,RQ2,off,stage 1,MCTS,>=26/59,scheduler-limited lower bound,weights/counters/rq2_vh_off_stage1_snapshot_666.pkl,20251206,logs/counters/rq2_vh_off_stage1_mcts_provisional_job20251206.log.gz,hmrmax-astar,0.5,0.1,20,70,42,26 plans VAL-confirmed,"The source job reached its three-day Slurm limit on 2026-08-20."
Counters,RQ1,off,stage 2,policy,35/59,completed,weights/counters/rq2_vh_off_stage2_anchor1_job20013320_epoch1,20059151,logs/counters/rq2_vh_off_stage2_policy_35of59_job20059151.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Anchor coefficient 1; selected epoch 1.
Counters,RQ2,off,stage 2,MCTS,33/59 normal,completed,weights/counters/rq2_vh_off_stage2_anchor1_job20013320_epoch1,20150006+20146011+20163694,logs/counters/rq2_vh_off_stage2_mcts_normal_validation_job20150006.log.gz;logs/counters/rq2_vh_off_stage2_mcts_normal_continuation_job20146011.log.gz;logs/counters/rq2_vh_off_stage2_mcts_normal_6h_followup_job20163694.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial continuation and six-hour timeout follow-up.
Counters,RQ2,off,stage 2,MCTS,>=37/59 narrow,completed through scheduler limit,weights/counters/rq2_vh_off_stage2_anchor1_job20013320_epoch1,20253161,logs/counters/rq2_vh_off_stage2_mcts_narrow_37of59_job20253161.log.gz,hmrmax-astar,0.5,0.1,5,70,42,37 plans VAL-confirmed,"Exploratory narrow-search result."
Counters,RQ3,on,stage 1,policy,12/59,completed historical baseline,weights/counters/rq4_vh_on_stage1_snapshot_38,18273186;17884297,logs/counters/rq3_vh_on_stage1_policy_12of59_job18273186.log.gz;logs/counters/rq3_vh_on_selected_checkpoint_policy_14of59_job17884297.log.gz,hadd-gbfs,,,,,42,original evidence plus exact-checkpoint audit,"The 12/59 displayed baseline is packaged together with the exact selected-checkpoint evaluation, which scored 14/59; both are retained to expose the historical provenance discrepancy."
Counters,RQ4,on,stage 1,MCTS,>=14/59,scheduler-limited lower bound,weights/counters/rq4_vh_on_stage1_snapshot_38,20251211,logs/counters/rq4_vh_on_stage1_mcts_provisional_job20251211.log.gz,hmrmax-astar,0.5,0.1,20,70,42,14 plans VAL-confirmed,"The source job reached its three-day Slurm limit on 2026-08-20."
Counters,RQ3,on,stage 2,policy,14/59,completed,weights/counters/rq4_vh_on_stage2_anchor30_job20013344_epoch0,20059153,logs/counters/rq4_vh_on_stage2_policy_14of59_job20059153.log.gz,hmrmax-astar,,,,,42,VAL-confirmed,Anchor coefficient 30; selected epoch 0.
Counters,RQ4,on,stage 2,MCTS,15/59,completed,weights/counters/rq4_vh_on_stage2_anchor30_job20013344_epoch0,20150012+20149868,logs/counters/rq4_vh_on_stage2_mcts_part1_job20150012.log.gz;logs/counters/rq4_vh_on_stage2_mcts_part2_job20149868.log.gz,hmrmax-astar,0.5,0.1,20,70,42,VAL-confirmed,Reconstructed from initial and continuation logs.
